  52
        52          T 
    513.53           7
     0.000    738.05583     27.45354
     1.100    733.99583     27.45354
     1.790    733.97583     27.45354
    19.010    733.95583     27.45354
    20.090    738.22000     27.45354
        51          T 
    222.63           9
     0.000    738.14000     55.00000
     0.000    737.80721     55.00000
     1.100    733.77721     29.00000
     7.160    733.76721     34.00000
     8.960    733.75721     29.00000
    12.540    733.74721     34.00000
    16.120    733.74721     35.00000
    19.010    733.73721     55.00000
    20.090    738.18000     55.00000
        50          T 
    201.63           9
     0.000    737.64000     55.00000
     0.000    737.29704     55.00000
     1.060    733.63704     29.00000
     5.360    733.62704     34.00000
     7.150    733.61704     29.00000
    12.520    733.60704     34.00000
    14.300    733.60704     35.00000
    18.940    733.59704     55.00000
    20.050    737.51000     55.00000
        49          T 
    179.13           9
     0.000    737.10000     55.00000
     0.000    736.51765     55.00000
     1.030    733.24765     29.00000
     5.350    733.23765     34.00000
     8.920    733.22765     29.00000
    14.260    733.22765     34.00000
    16.050    733.21765     35.00000
    18.860    733.20765     55.00000
    20.010    736.80000     55.00000
        48          T 
    155.13           8
     0.000    736.53000     55.00000
     0.000    735.77035     55.00000
     0.990    732.92035     34.00000
     3.560    732.91035     29.00000
    12.450    732.90035     34.00000
    14.230    732.89035     29.00000
    18.780    732.88035     55.00000
    19.970    736.04000     55.00000
        47          T 
    153.63           8
     0.000    736.49000     55.00000
     0.000    735.70601     55.00000
     0.990    732.88601     34.00000
     5.330    732.87601     35.00000
    10.670    732.86601     34.00000
    14.220    732.85601     29.00000
    18.770    732.84601     55.00000
    19.970    736.00000     55.00000
        46          T 
    152.76           8
     0.000    736.47000     55.00000
     0.000    735.68212     55.00000
     0.990    732.87212     34.00000
     5.330    732.86212     35.00000
    10.670    732.85212     34.00000
    14.220    732.84212     29.00000
    18.770    732.83212     55.00000
    19.970    735.97000     55.00000
        45          F 
    151.95           5
     0.000    736.47000     55.00000
     0.000    735.67000     55.00000
     0.990    732.86000     55.00000
    18.770    732.82000     55.00000
    19.970    735.97000     55.00000
        52          T 
    150.44           7
     0.000    736.43000     26.74059
     0.000    735.58925     26.74059
     1.000    731.62925     26.74059
     3.800    731.62925     26.74059
    11.390    731.60925     26.74059
    18.780    731.59925     26.74059
    19.980    735.93000     26.74059
        51          T 
    148.94           8
     0.000    736.39000     55.00000
     0.000    735.39117     55.00000
     1.000    731.43117     34.00000
     1.780    731.42117     22.00000
     8.900    731.41117     34.00000
    14.240    731.40117     29.00000
    18.800    731.39117     55.00000
    19.990    735.88000     55.00000
        50          T 
    129.44           8
     0.000    735.90000     55.00000
     0.000    735.29149     55.00000
     1.070    731.27149     34.00000
     1.790    731.25149     22.00000
    10.740    731.25149     34.00000
    14.320    731.24149     29.00000
    18.970    731.23149     55.00000
    20.120    735.31000     55.00000
        49          T 
    105.44           8
     0.000    735.29000     55.00000
     0.000    734.96902     55.00000
     1.150    730.85902     34.00000
     1.800    730.84902     22.00000
    10.820    730.84902     34.00000
    14.430    730.83902     29.00000
    19.190    730.81902     55.00000
    20.280    734.61000     55.00000
